syslog10k.log,,,,,,,,,,
3.364642,3.469006,3.565143,3.527298,3.566729,3.4985636,,,,,
,,,,,,,,,,
quick_ana.csv_exec_parse_0,quick_ana.csv_exec_parse_1,quick_ana.csv_exec_parse_2,quick_ana.csv_exec_parse_3,quick_ana.csv_exec_parse_4,quick_ana.csv_exec_parse_5,quick_ana.csv_exec_parse_6,quick_ana.csv_exec_parse_7,quick_ana.csv_exec_parse_8,quick_ana.csv_exec_parse_9,
3.756813,3.884701,3.527586,3.448112,3.560635,4.777873,7.174827,6.909327,6.120575,6.268404,4.9428853
,,,,,,,,,,
quick_ana.csv_warm_sort_0,quick_ana.csv_warm_sort_1,quick_ana.csv_warm_sort_2,quick_ana.csv_warm_sort_3,quick_ana.csv_warm_sort_4,,,,,,
0.190149,0.176495,0.187022,0.198382,0.204309,0.1912714,,,,,
,,,,,,,,,,
quick_ana.csv_exec_sort_0,quick_ana.csv_exec_sort_1,quick_ana.csv_exec_sort_2,quick_ana.csv_exec_sort_3,quick_ana.csv_exec_sort_4,quick_ana.csv_exec_sort_5,quick_ana.csv_exec_sort_6,quick_ana.csv_exec_sort_7,quick_ana.csv_exec_sort_8,quick_ana.csv_exec_sort_9,
0.231975,0.178444,0.215745,0.188703,0.203173,0.388958,0.394188,0.290593,0.342755,0.315908,0.2750442
,,,,,,,,,,
syslog1Mb.log.gz,,,,,,,,,,
syslog1Mc.log,,,,,,,,,,
quick_ana.csv_warm_load_0,quick_ana.csv_warm_load_1,quick_ana.csv_warm_load_2,quick_ana.csv_warm_load_3,quick_ana.csv_warm_load_4,,,,,,
0.038668,0.047928,0.040137,0.037646,0.039967,0.0408692,,,,,
,,,,,,,,,,
quick_ana.csv_exec_load_0,quick_ana.csv_exec_load_1,quick_ana.csv_exec_load_2,quick_ana.csv_exec_load_3,quick_ana.csv_exec_load_4,quick_ana.csv_exec_load_5,quick_ana.csv_exec_load_6,quick_ana.csv_exec_load_7,quick_ana.csv_exec_load_8,quick_ana.csv_exec_load_9,
0.039592,0.037263,0.037664,0.043552,0.046948,0.04108,0.038943,0.03825,0.023316,0.020935,0.0367543
quick_ana.csv_warm_parse_0,quick_ana.csv_warm_parse_1,quick_ana.csv_warm_parse_2,quick_ana.csv_warm_parse_3,quick_ana.csv_warm_parse_4,,,,,,
,,,,,,,,,,
6.644307,6.433442,6.350506,6.574313,6.386842,6.477882,,,,,
,,,,,,,,,,
quick_ana.csv_exec_parse_0,quick_ana.csv_exec_parse_1,quick_ana.csv_exec_parse_2,quick_ana.csv_exec_parse_3,quick_ana.csv_exec_parse_4,quick_ana.csv_exec_parse_5,quick_ana.csv_exec_parse_6,quick_ana.csv_exec_parse_7,quick_ana.csv_exec_parse_8,quick_ana.csv_exec_parse_9,
6.41492,6.991022,6.389551,6.535645,6.205052,6.15046,6.596946,6.465652,3.592006,3.768801,5.9110055
,,,,,,,,,,
quick_ana.csv_warm_sort_0,quick_ana.csv_warm_sort_1,quick_ana.csv_warm_sort_2,quick_ana.csv_warm_sort_3,quick_ana.csv_warm_sort_4,,,,,,
5.070938,5.006793,5.067853,4.949519,4.893678,4.9977562,,,,,
,,,,,,,,,,
quick_ana.csv_exec_sort_0,quick_ana.csv_exec_sort_1,quick_ana.csv_exec_sort_2,quick_ana.csv_exec_sort_3,quick_ana.csv_exec_sort_4,quick_ana.csv_exec_sort_5,quick_ana.csv_exec_sort_6,quick_ana.csv_exec_sort_7,quick_ana.csv_exec_sort_8,quick_ana.csv_exec_sort_9,
5.229901,5.551658,5.062121,5.356668,4.955375,5.138521,5.070692,3.873283,2.788731,3.204234,4.6231184
,,,,,,,,,,
syslog1Mc.log.gz,,,,,,,,,,
syslog200k.log,,,,,,,,,,
quick_ana.csv_warm_load_0,quick_ana.csv_warm_load_1,quick_ana.csv_warm_load_2,quick_ana.csv_warm_load_3,quick_ana.csv_warm_load_4,,,,,,
0.410927,0.4425,0.429032,0.413537,0.411915,0.4215822,,,,,
,,,,,,,,,,
